species,decimallongitude,decimallatitude
Ochotona_princeps,-119.305835,38.443391
Ochotona_princeps,-119.294761,38.472963
Ochotona_princeps,-119.293733,38.4486
Ochotona_princeps,-119.280443,38.460229
Ochotona_princeps,-119.279393,38.461747
Ochotona_princeps,-119.273385,37.972866
Ochotona_princeps,-119.269072,38.468374
Ochotona_princeps,-119.267171,38.451255
Ochotona_princeps,-119.2610089,37.7896535
Ochotona_princeps,-119.2608776,37.7769743
Ochotona_princeps,-119.25878,37.75839
Ochotona_princeps,-119.2586694,37.772939
Ochotona_princeps,-119.25828,37.77211
Ochotona_princeps,-119.2581,37.76347
Ochotona_princeps,-119.257152,37.7716296
Ochotona_princeps,-119.256879,37.910952
Ochotona_princeps,-119.2561983,37.76684
Ochotona_princeps,-119.2555,37.92127
Ochotona_princeps,-119.25506,37.76807
Ochotona_princeps,-119.2526439,37.7637043
Ochotona_princeps,-119.2506065,37.7649446
Ochotona_princeps,-119.247668,37.761066
Ochotona_princeps,-119.235932,37.938063
Ochotona_princeps,-119.222183,37.898633
Ochotona_princeps,-119.1811,37.86653
Ochotona_princeps,-119.1646659,37.6115481
Ochotona_princeps,-119.15,53.1333
Ochotona_princeps,-119.1270106,37.6864692
Ochotona_princeps,-119.033039,37.608573
Ochotona_princeps,-119.01162,38.211724
Ochotona_princeps,-119.003567,38.213276
Ochotona_princeps,-119.001943,37.615228
Ochotona_princeps,-118.999614,37.630973
Ochotona_princeps,-118.96647,37.126209
Ochotona_princeps,-118.84079,36.711143
Ochotona_princeps,-118.8009,38.56071
Ochotona_princeps,-118.7975,38.48806
Ochotona_princeps,-118.79358,38.56512
Ochotona_princeps,-118.75,36.98
Ochotona_princeps,-118.73008,41.668
Ochotona_princeps,-118.72917,41.66194
Ochotona_princeps,-118.71453,36.658459
Ochotona_princeps,-118.702,37.188599
Ochotona_princeps,-118.699017,36.643712
Ochotona_princeps,-118.6933,37.1686
Ochotona_princeps,-118.685282,44.306939
Ochotona_princeps,-118.678,36.602501
Ochotona_princeps,-118.6689737,36.9839809
Ochotona_princeps,-118.63744,36.600674
Ochotona_princeps,-118.63247,37.191227
Ochotona_princeps,-118.5617,42.6784
Ochotona_princeps,-118.5447423,37.1150759
Ochotona_princeps,-118.525691,37.1044343
Ochotona_princeps,-118.5167,50.1
Ochotona_princeps,-118.47833,48.6075
Ochotona_princeps,-118.4783,48.6075
Ochotona_princeps,-118.4167,44.8094
Ochotona_princeps,-118.4038291,36.7726259
Ochotona_princeps,-118.3891075,36.7704575
Ochotona_princeps,-118.35945,36.76896
Ochotona_princeps,-118.34201,36.77061
Ochotona_princeps,-118.339832,36.771747
Ochotona_princeps,-118.3299684,36.7740926
