species,decimallongitude,decimallatitude
Ochotona_princeps,-110.62598,46.93518
Ochotona_princeps,-110.50814,38.0821
Ochotona_princeps,-110.46,40.83
Ochotona_princeps,-110.3028,46.1093
Ochotona_princeps,-110.12944,44.46556
Ochotona_princeps,-110.0268639,43.70562222
Ochotona_princeps,-109.98679,40.82692
Ochotona_princeps,-109.934,45.0455
Ochotona_princeps,-109.91139,40.6625
Ochotona_princeps,-109.82619,40.87523
Ochotona_princeps,-109.82064,40.77417
Ochotona_princeps,-109.6112823,44.9638262
Ochotona_princeps,-109.4711194,45.0059
Ochotona_princeps,-109.27417,38.52725
Ochotona_princeps,-109.22855,38.43838
Ochotona_princeps,-108.0734917,39.04319444
Ochotona_princeps,-108.0648735,37.4551379
Ochotona_princeps,-107.9491812,39.0402668
Ochotona_princeps,-107.8741333,44.92510833
Ochotona_princeps,-107.6628555,37.7829565
Ochotona_princeps,-107.5644449,37.8797035
Ochotona_princeps,-107.33278,40.13972
Ochotona_princeps,-107.324174,39.550546
Ochotona_princeps,-107.2858722,37.30808368
Ochotona_princeps,-107.25785,39.97155833
Ochotona_princeps,-107.1883304,39.0722089
Ochotona_princeps,-107.18445,38.8427645
Ochotona_princeps,-107.1103,40.0347
Ochotona_princeps,-107.07889,44.14972
Ochotona_princeps,-107.066989,37.443616
Ochotona_princeps,-107.0144,41.1778
Ochotona_princeps,-107.0100087,38.95637574
Ochotona_princeps,-106.9916138,39.0461013
Ochotona_princeps,-106.95556,44.79722
Ochotona_princeps,-106.9418664,38.0461256
Ochotona_princeps,-106.9238973,37.46470242
Ochotona_princeps,-106.7523953,39.20893575
Ochotona_princeps,-106.739,37.488
Ochotona_princeps,-106.734202,37.091955
Ochotona_princeps,-106.663105,40.831208
Ochotona_princeps,-106.647451,38.2852478
Ochotona_princeps,-106.590883,37.730565
Ochotona_princeps,-106.542689,35.879218
Ochotona_princeps,-106.483621,38.68915565
Ochotona_princeps,-106.4827907,38.9649885
Ochotona_princeps,-106.46203,44.25713
Ochotona_princeps,-106.450033,37.020566
Ochotona_princeps,-106.39222,35.890278
Ochotona_princeps,-106.38624,40.386748
Ochotona_princeps,-106.385917,38.80309
Ochotona_princeps,-106.370277,35.757221
Ochotona_princeps,-106.3527884,37.678879
Ochotona_princeps,-106.349863,39.423924
Ochotona_princeps,-106.33583,37.01333
Ochotona_princeps,-106.327638,38.579337
Ochotona_princeps,-106.32431,41.31009
Ochotona_princeps,-106.25639,41.399516
Ochotona_princeps,-106.13694,39.195
Ochotona_princeps,-106.085543,39.386551
Ochotona_princeps,-106.06222,39.28389
Ochotona_princeps,-105.9688999,39.41109606
Ochotona_princeps,-105.8886109,39.7735947
Ochotona_princeps,-105.8622571,40.37516171
